Nombre cienfífico;Nombre vulgar;P;V;O;I
Cygnus melancoryphus;cisne de cuello negro;713;916;678;195
Anas sibilatrix;pato real;16;55;88;7
Anas cyanoptera;pato colorado;1;;;
Anas georgica;pato jergón grande;76;124;128;57
Anas flavirostris;pato jergón chico;72;106;46;31
Oxyura jamaicencis;pato rana de pico ancho;1;;;
Rollandia rolland;pimpollo común;25;79;102;2
Podilymbus podiceps;picurio;9;10;5;5
Podiceps major;huala;97;98;4;6
Podiceps occipitalis;blanquillo;2;1;;
Phalacrocorax brasilianus;pato yeco;76;117;19;30
Plegadis chihi;cuervo del pantano;;6;;
Ixobrychus involucris;huairavillo;;2;;1
Ardea cocoi;garza cuca;21;19;13;7
Ardea alba;garza grande;29;19;16;3
Egretta thula;garza chica;37;57;23;4
Bubulcus ibis;garza bueyera;;44;;
Nycticorax nycticorax;huairavo común;1;;;
Theristicus melanopis;bandurria;8;;;4
Coragyps atratus;jote de cabeza negra;53;49;;
Cathartes aura;jote de cabeza colorada;;4;;
Porphyriops melanops;taguita común;116;9;1;1
Pardirallus sanguinolentus;pidén común;2;;2;2
Fulica armillata;tagua común;914;656;1189;286
Fulica rufifrons;tagua de frente roja;22;117;30;8
Fulica leucoptera;tagua chica;242;276;602;121
Himantopus melanurus;perrito;5;;;
Vanellus chilensis;queltehue;159;63;114;50
Tringa melanoleuca;pitotoy grande;;1;;
Tringa flavipes;pitotoy chico;;1;;
Numenius phaeopus;zarapito común;;1;;
Gallinago paraguaiae;becacina;19;11;10;3
Larus dominicanus;gaviota dominicana;15;10;3;
Larus maculipenis;gaviota cahuil;128;102;23;47
Sterna trudeaui;gaviotín piquerito;6;;;
Phleocryptes melanops;trabajador;1;2;;
Cinclodes oustaleti;churrete chico;;1;;
Cinclodes patagonicus;churrete común;5;9;;1
Cinclodes fuscus;churrete acanelado;;;2;
Tachuris rubigastra;siete colores;12;4;;
Lessonia rufa;colegial austral;4;7;;
Hymenops perspicillatus;run-run;21;6;;
Pygochelidon cyanoleuca;golondrina de dorso negro;1;;;
Tachycineta meyeni;golondrina chilena;47;69;21;21
Cistothorus platensis;chercán de las vegas;5;;2;2
Sicalis luteola;chirihue común;1;20;;
Agelaius thilius;trile;11;2;1;1
